-3.4,-0.0228435652,-3.4,-0.0234708404,-3.4,-0.024991649,-3.4,-0.0271619351
-3.3,-0.0230907302,-3.3,-0.0236564517,-3.3,-0.0253703322,-3.3,-0.0282298584
-3.2,-0.0232912401,-3.2,-0.023941769,-3.2,-0.0261131,-3.2,-0.0293406595
-3.1,-0.0233716415,-3.1,-0.0241236285,-3.1,-0.026477997,-3.1,-0.030382057
-3,-0.0233947485,-3,-0.0243571472,-3,-0.0271171771,-3,-0.0314141452
-2.9,-0.0236062246,-2.9,-0.0245903485,-2.9,-0.0275324099,-2.9,-0.0324534006
-2.8,-0.0236651598,-2.8,-0.0248009372,-2.8,-0.0281556108,-2.8,-0.0334478632
-2.7,-0.0237936585,-2.7,-0.0249652555,-2.7,-0.0284679372,-2.7,-0.0343020843
-2.6,-0.0239107247,-2.6,-0.0251660543,-2.6,-0.0289401101,-2.6,-0.0351678834
-2.5,-0.0240748558,-2.5,-0.0253870183,-2.5,-0.0293457584,-2.5,-0.0359517444
-2.4,-0.0242153954,-2.4,-0.0255909617,-2.4,-0.029794836,-2.4,-0.0366646189
-2.3,-0.0243560335,-2.3,-0.0257619289,-2.3,-0.0300264381,-2.3,-0.0371560272
-2.2,-0.0245433908,-2.2,-0.0260228867,-2.2,-0.0303854997,-2.2,-0.0376497765
-2.1,-0.0247309394,-2.1,-0.0261834356,-2.1,-0.0305419683,-2.1,-0.0378292456
-2,-0.0249423444,-2,-0.0263947929,-2,-0.0306684853,-2,-0.0379761474
-1.9,-0.0252001774,-1.9,-0.0266054569,-1.9,-0.0307997139,-1.9,-0.0378117423
-1.8,-0.0254814811,-1.8,-0.0268136415,-1.8,-0.0307442975,-1.8,-0.0375552412
-1.7,-0.0257150558,-1.7,-0.0269335951,-1.7,-0.0305495895,-1.7,-0.0366019008
-1.6,-0.0260069014,-1.6,-0.0270875711,-1.6,-0.0301792745,-1.6,-0.0356436777
-1.5,-0.0263528099,-1.5,-0.0271912591,-1.5,-0.0297409655,-1.5,-0.0339998478
-1.4,-0.0267913106,-1.4,-0.0272653925,-1.4,-0.0290860879,-1.4,-0.0322904204
-1.3,-0.0269569855,-1.3,-0.0273084083,-1.3,-0.0281844673,-1.3,-0.0296681212
-1.2,-0.0276609987,-1.2,-0.027923208,-1.2,-0.0276525233,-1.2,-0.0269541495
-1.1,-0.027800569,-1.1,-0.0272615482,-1.1,-0.0257148787,-1.1,-0.0231488098
-1,-0.0282425706,-1,-0.0271668022,-1,-0.0240649498,-1,-0.0191826713
-0.9,-0.0285950539,-0.9,-0.0270037859,-0.9,-0.0222513483,-0.9,-0.0143630626
-0.8,-0.0289823871,-0.8,-0.0267890038,-0.8,-0.0201347622,-0.8,-0.0093948578
-0.7,-0.0293236077,-0.7,-0.0264671611,-0.7,-0.0179616916,-0.7,-0.0038046724
-0.6,-0.029701441,-0.6,-0.0261854047,-0.6,-0.015532968,-0.6,0.0018171558
-0.5,-0.0299797465,-0.5,-0.0258478019,-0.5,-0.0135149726,-0.5,0.0070425948
-0.4,-0.0302562099,-0.4,-0.0254917564,-0.4,-0.0111920852,-0.4,0.0121927377
-0.3,-0.0304482403,-0.3,-0.0252284011,-0.3,-0.0095909365,-0.3,0.0164187549
-0.2,-0.030635786,-0.2,-0.0249183427,-0.2,-0.0077329122,-0.2,0.0205270939
-0.1,-0.030682556,-0.1,-0.0247542876,-0.1,-0.0069957565,-0.1,0.02261759
1.77635683940025E-15,-0.0307764386,1.77635683940025E-15,-0.024590311,1.77635683940025E-15,-0.0060125695,1.77635683940025E-15,0.0245373712
0.1,-0.0307294191,0.1,-0.0247926156,0.1,-0.0070110672,0.1,0.0226356319
0.2,-0.0306826025,0.2,-0.0249902414,0.2,-0.007693732,0.2,0.0205930085
0.3,-0.0304951024,0.3,-0.025248126,0.3,-0.0095777426,0.3,0.0165274078
0.4,-0.0303535569,0.4,-0.0255737139,0.4,-0.0112333491,0.4,0.0122466262
0.5,-0.0300733365,0.5,-0.0259966592,0.5,-0.0138143245,0.5,0.0064756513
0.6,-0.0297921514,0.6,-0.0263418295,0.6,-0.0161225176,0.6,0.0006348491
0.7,-0.0294770617,0.7,-0.0267922649,0.7,-0.0187519843,0.7,-0.0053797879
0.8,-0.029136018,0.8,-0.0271104449,0.8,-0.0210077134,0.8,-0.0112316887
0.9,-0.0287609161,0.9,-0.0273083356,0.9,-0.0230346817,0.9,-0.0158887641
1,-0.0285360647,1,-0.0272928835,1,-0.0247240884,1,-0.0204703867
1.1,-0.0280582217,1.1,-0.0276130214,1.1,-0.0263143144,1.1,-0.0241924265
1.2,-0.0281431996,1.2,-0.026973864,1.2,-0.0275471606,1.2,-0.0277717574
1.3,-0.0272785003,1.3,-0.0276364531,1.3,-0.0286566887,1.3,-0.0303486509
1.4,-0.027053545,1.4,-0.0276396388,1.4,-0.0295082164,1.4,-0.0328683928
1.5,-0.0266991937,1.5,-0.0275725914,1.5,-0.0302007151,1.5,-0.0346147995
1.6,-0.0263902931,1.6,-0.0274838754,1.6,-0.0307173559,1.6,-0.0362805186
1.7,-0.026183815,1.7,-0.0274021968,1.7,-0.0310727841,1.7,-0.0372162405
1.8,-0.0259264851,1.8,-0.0272599739,1.8,-0.0312063918,1.8,-0.0380634415
1.9,-0.0256681913,1.9,-0.027074095,1.9,-0.0312917766,1.9,-0.0383212062
2,-0.0255035064,2,-0.0269451881,2,-0.0312698366,2,-0.0386010405
2.1,-0.0253041296,2.1,-0.0267687007,2.1,-0.0311386296,2.1,-0.0384376182
2.2,-0.025152728,2.2,-0.0265926624,2.2,-0.03090195,2.2,-0.0382386694
2.3,-0.0249882516,2.3,-0.0264060805,2.3,-0.0306589234,2.3,-0.0377469669
2.4,-0.0248720033,2.4,-0.0262413,2.4,-0.030366387,2.4,-0.0372214254
2.5,-0.0247437372,2.5,-0.0260444095,2.5,-0.0299689752,2.5,-0.0365080198
2.6,-0.0246606467,2.6,-0.0259734359,2.6,-0.0296340618,2.6,-0.035760023
2.7,-0.0245814373,2.7,-0.0257150163,2.7,-0.0291622032,2.7,-0.0349166721
2.8,-0.024398103,2.8,-0.0256484154,2.8,-0.0287647837,2.8,-0.0340077827
2.9,-0.0243560346,2.9,-0.0253212594,2.9,-0.0282152269,2.9,-0.0330268707
3,-0.024252514,3,-0.0251786493,3,-0.0278389093,3,-0.0320920192
3.1,-0.0242154452,3.1,-0.0249651717,3.1,-0.0272438756,3.1,-0.0310458314
3.2,-0.0241478655,3.2,-0.024771044,3.2,-0.0268009869,3.2,-0.0300174827
3.3,-0.0240472434,3.3,-0.0245902611,3.3,-0.0262498786,3.3,-0.0290015993
3.4,-0.0239782019,3.4,-0.0243720747,3.4,-0.0258778554,3.4,-0.0279335616
